"cover","elev","tci","streamdist","disturb","beers"
0,1121,5.36382103,281.6,"LT-SEL",1.03253949
0,1134,5.10715389,64.03,"VIRGIN",1.64530134
0,1019,5.61283112,476.3,"VIRGIN",1.99964607
0,1214,5.45581198,169.7,"LT-SEL",1.99819815
0,1447,4.44888878,89.44,"VIRGIN",1.07812107
0,905.8,8.82238483,20,"LT-SEL",0.29943642
0,1015,6.66399097,255,"SETTLE",0.05800001
0,866.8,4.24502897,20,"VIRGIN",1.68929851
0,1318,4.82635307,198,"VIRGIN",1.98695123
0,1267,5.57712603,44.72,"VIRGIN",1.31413603
0,1181,9.44544983,10,"VIRGIN",0.00020564
0,1487,3.95891809,262.5,"CORPLOG",1.49446619
0,918.3,4.41510916,76.16,"SETTLE",0.95874566
0,988.4,8.58088684,36.06,"VIRGIN",1.43431389
0,939.3,5.4027791,134.5,"SETTLE",1.46014357
0,1206,4.76958799,10,"LT-SEL",1.95786643
0,980.5,4.8444171,63.25,"VIRGIN",1.66897535
0,952.8,7.43198395,36.06,"VIRGIN",1.81553626
0,882.3,5.15354681,50,"LT-SEL",0.36615214
0,1113,3.4010179,84.85,"VIRGIN",1.94633472
0,1504,4.49612808,218.4,"VIRGIN",1.97598147
0,847,6.38500595,50,"LT-SEL",0.80605716
0,834.5,5.5891118,22.36,"LT-SEL",1.9692086
0,1313,7.65364122,31.62,"VIRGIN",0.5550251
0,1310,5.38711596,141.4,"VIRGIN",1.42787206
0,859.8,6.00051403,89.44,"LT-SEL",0.8724767
0,1185,4.73946524,264,"LT-SEL",1.86984003
0,1533,4.52862883,337.3,"VIRGIN",0.65501821
0,910,5.95543623,14.14,"SETTLE",0.57244837
0,859.5,7.11973906,104.4,"LT-SEL",1.06107688
0,801.3,7.50090694,41.23,"SETTLE",1.99556172
0,793.7,10.53,0,"SETTLE",1.68462086
0,802.3,6.070086,90.55,"SETTLE",0.3981379
0,1072,11.15,10,"SETTLE",0.53707433
2,1504,4.37374115,237.1,"VIRGIN",1.65584207
0,628.4,3.91855192,120.4,"LT-SEL",0.04478073
0,551.7,7.12312412,14.14,"LT-SEL",0.96440923
0,683.7,4.15644693,22.36,"LT-SEL",1.9521364
0,444.2,4.41574621,28.28,"LT-SEL",0.16297245
0,437.7,6.78083277,0,"LT-SEL",1.79770136
0,613.5,3.636199,272,"LT-SEL",1.7864604
0,595.6,4.46126795,250.8,"LT-SEL",0.97821885
0,584,4.80739689,108.2,"LT-SEL",1.51250339
0,598.8,4.82904005,210.2,"LT-SEL",0.72464001
0,606.2,3.7613709,252.4,"LT-SEL",0.05484751
0,848.2,5.35887814,336.2,"LT-SEL",1.92619395
0,917.5,5.20643902,353.8,"LT-SEL",0.81792277
0,941,4.39282799,320.6,"LT-SEL",1.68158853
0,919.9,5.05614424,156.5,"LT-SEL",0.75687164
0,883.4,5.40982389,108.2,"LT-SEL",1.37579525
0,727.2,3.44712996,290.7,"LT-SEL",0.69633603
0,722.2,4.19182587,317.8,"LT-SEL",0.97701114
0,727,3.16103697,250.8,"LT-SEL",1.41699612
0,625.5,4.68501806,63.25,"LT-SEL",0.0068528
0,613.4,4.98365498,36.06,"LT-SEL",1.85831022
0,510.3,8.76585293,312.6,"LT-SEL",1.50207818
0,457.3,9.2308197,28.28,"LT-SEL",1.1679101
0,717.4,4.51472521,460,"LT-SEL",1.14009523
0,706,4.35608196,390.5,"LT-SEL",0.16328752
0,794,3.75529408,360.6,"LT-SEL",1.98356032
0,758.6,4.72222519,63.25,"LT-SEL",1.08114648
0,503.2,4.64458084,355.1,"CORPLOG",0.72824824
0,817.5,8.70455647,465.3,"LT-SEL",0.81304598
0,840.3,7.90501118,408,"LT-SEL",1.70904732
0,544.6,8.5399971,160,"LT-SEL",1.12592888
0,568.9,10.67,250.8,"LT-SEL",1.20157778
0,678.1,5.25798607,214,"LT-SEL",0.0947428
0,581.1,4.57624388,64.03,"LT-SEL",1.7887274
0,582.7,6.23814106,176.9,"LT-SEL",0.34974054
0,590,4.69755602,474.3,"CORPLOG",0.84226847
0,571.5,5.10388613,266.8,"CORPLOG",0.3876434
0,681.4,4.70516014,506,"LT-SEL",0.88299614
0,670.8,4.5713501,462.4,"LT-SEL",0.64879811
0,698.4,3.85004401,197,"LT-SEL",0.43965831
0,716.1,4.26419878,240.4,"LT-SEL",0.10218436
0,709.6,3.68539906,235.4,"LT-SEL",1.06184423
0,676.1,5.47057295,200,"LT-SEL",1.1176964
0,661.4,4.68295383,127.3,"LT-SEL",1.97888565
0,610.7,4.52831793,277.3,"LT-SEL",0.00162463
0,637.3,4.85419703,300.8,"LT-SEL",0.02940879
0,614.4,5.13394117,186,"LT-SEL",1.19817114
0,584.3,6.47289991,85.44,"LT-SEL",1.77505493
0,574.8,4.37171078,0,"LT-SEL",1.66967678
0,607.8,5.16231585,28.28,"LT-SEL",0.57169908
0,592.6,5.35637188,31.62,"LT-SEL",0.31793281
0,565.1,5.09103489,50,"LT-SEL",0.76325756
0,481.8,4.45236206,14.14,"LT-SEL",1.9872098
0,603,6.0051198,36.06,"LT-SEL",0.41018903
0,614.6,5.21767616,382.1,"LT-SEL",1.82649243
0,669.3,9.71498203,378.5,"LT-SEL",1.50664282
0,691.1,5.42046499,317.6,"LT-SEL",1.38211691
0,611.7,10.24,197.2,"LT-SEL",0.00886668
0,690.8,4.80152607,230,"LT-SEL",0.52077001
0,650.8,3.88353205,386.4,"LT-SEL",1.94824541
0,663.5,4.75779009,383.3,"LT-SEL",1.99991763
0,673.2,5.40900183,520.1,"LT-SEL",1.75601733
0,680.2,4.7884531,460,"LT-SEL",0.00010672
0,676.8,3.841851,237.1,"LT-SEL",1.47897458
