"","cover","elev","tci","streamdist","disturb","beers"
"261",5,552.7,8.75770378,161.2,"LT-SEL",0.1227034
"262",1,413.1,6.75950623,10,"LT-SEL",1.86838758
"263",1,443.3,8.6936121,10,"LT-SEL",0.42805532
"264",6,478.2,5.47542715,100.5,"LT-SEL",0.44149759
"265",5,339.8,5.53444195,50,"LT-SEL",1.30991566
"266",5,351,5.04492712,92.2,"LT-SEL",1.98913229
"267",5,326.3,6.51829004,40,"LT-SEL",1.96703136
"268",5,362.6,4.59075308,31.62,"LT-SEL",0.01060447
"269",4,368.7,4.95879889,127.3,"LT-SEL",0.24951959
"270",5,379.4,4.40113401,64.03,"LT-SEL",0.0154725
"271",6,564.8,5.63021421,138.9,"LT-SEL",1.24359202
"272",6,605.9,3.48094106,130.4,"LT-SEL",1.99760628
"273",6,603.3,3.52819395,247.6,"LT-SEL",1.67021656
"274",6,574.5,4.40125084,205.2,"LT-SEL",1.633129
"275",5,594.8,5.8831768,278.9,"LT-SEL",1.45682681
"276",2,592.6,4.91427422,100,"LT-SEL",1.35003245
"277",7,573.9,3.8970089,200,"LT-SEL",0.84790725
"278",8,562.8,5.2535038,620.1,"LT-SEL",0.89792567
"279",6,561.5,3.56035495,667.1,"LT-SEL",0.38941371
"280",4,662.6,4.68487406,466.9,"LT-SEL",0.30797628
"281",5,601.9,4.73188114,332.4,"LT-SEL",1.94799662
"282",4,611.9,3.47198105,150,"LT-SEL",0.13187182
"283",5,340.8,8.63799095,72.11,"LT-SEL",0.2041461
"284",8,381,9.631917,120.4,"LT-SEL",0.5425055
"285",6,362.4,6.63645792,85.44,"LT-SEL",0.19415538
"286",5,352.1,4.38337517,128.1,"LT-SEL",0.13132447
"287",9,526.4,8.25389004,223.6,"SETTLE",0.46192941
"288",9,565.3,3.60729504,560.4,"SETTLE",0.01103224
"289",5,615.2,4.56351614,503.3,"CORPLOG",0.58080691
"290",1,578.2,8.48253059,457.9,"CORPLOG",0.35673663
"291",0,566.9,4.40872002,456.2,"CORPLOG",1.15643048
"292",7,376.4,12.55,20,"CORPLOG",0.61370921
"293",6,407.6,5.54437208,170.3,"CORPLOG",0.72769904
"294",9,403.2,5.53664684,128.1,"CORPLOG",1.21641386
"295",2,389.1,8.76318359,30,"CORPLOG",1.17887866
